WBID,PLANNING_UNIT,GROUP_NAME,WATERBODY_NAME,WATERBODY_SIZE,UNITS,WATER_TYPE,CLASS,PERIMETER
2509G,Etonia Creek,Lower St. Johns,LAKE OPAL,0.02659,sq. miles,LAKE,3F,1031.39311126
2509G1,Etonia Creek,Lower St. Johns,PAYNES LAKE,0.12656,sq. miles,LAKE,3F,2305.67229636
2509H,Etonia Creek,Lower St. Johns,LAKE LILY,0.15969,sq. miles,LAKE,3F,3269.10683379
2509I,Etonia Creek,Lower St. Johns,LAKE BROOKLYN,0.33914,sq. miles,LAKE,3F,13864.07750385
2509J,Etonia Creek,Lower St. Johns,LAKE ROSA,0.14788,sq. miles,LAKE,3F,2397.15007775
2606B,Crescent Lake,Lower St. Johns,CRESCENT LAKE,26.6745,sq. miles,LAKE,3F,102044.44592799
2543D,Etonia Creek,Lower St. Johns,ASHLEY LAKE,0.12112,sq. miles,LAKE,3F,2323.76474847
2543F,Etonia Creek,Lower St. Johns,LAKE ROSS,0.15754,sq. miles,LAKE,3F,2989.7798869
2509K,Etonia Creek,Lower St. Johns,LOWRY LAKE (SAND HILL LAKE),1.93322,sq. miles,LAKE,3F,9456.74314309
2509M,Etonia Creek,Lower St. Johns,LITTLE CRYSTAL LAKE,0.07077,sq. miles,LAKE,3F,1914.84320818
2509N,Etonia Creek,Lower St. Johns,BLUE POND,0.30894,sq. miles,LAKE,3F,3602.29213226
2671A,Crescent Lake,Lower St. Johns,LAKE DAUGHARTY,0.45449,sq. miles,LAKE,3F,9006.97111932
2677A,Crescent Lake,Lower St. Johns,LAKE MAMIE,0.11986,sq. miles,LAKE,3F,2931.86844227
2607A,Crescent Lake,Lower St. Johns,LAKE MYRA,0.01122,sq. miles,LAKE,3F,628.17573339
2543G,Etonia Creek,Lower St. Johns,GOOSE LAKE,0.29264,sq. miles,LAKE,3F,4588.32117171
2680A,Crescent Lake,Lower St. Johns,LAKE MOLLY,0.02466,sq. miles,LAKE,3F,985.38702496
2543C,Etonia Creek,Lower St. Johns,LAKE TUCKER,0.05536,sq. miles,LAKE,3F,1589.4809823
2617A,Crescent Lake,Lower St. Johns,LAKE BROWARD,0.74579,sq. miles,LAKE,3F,10754.02342881
2438,Black Creek,Lower St. Johns,LAKE ASBURY,0.17553,sq. miles,LAKE,3F,8466.39390733
2438B,Black Creek,Lower St. Johns,LAKE ASBURY SOUTH,0.09485,sq. miles,LAKE,3F,5487.06082204
2630E,Crescent Lake,Lower St. Johns,LINDLEY LAKE,0.04272,sq. miles,LAKE,3F,1969.49354267
2630F,Crescent Lake,Lower St. Johns,CHARLES LAKE,0.04953,sq. miles,LAKE,3F,1390.5901935
2582B,Etonia Creek,Lower St. Johns,LONG LAKE (POND),0.36651,sq. miles,LAKE,3F,4900.31348207
2630G,Crescent Lake,Lower St. Johns,BLUE LAKE,0.08721,sq. miles,LAKE,3F,2817.73595842
2630H,Crescent Lake,Lower St. Johns,NORTH LAKE TALMADGE,0.1888,sq. miles,LAKE,3F,3834.91147867
2630I,Crescent Lake,Lower St. Johns,SOUTH LAKE TALMADGE,0.0926,sq. miles,LAKE,3F,1997.10983794
2476B,Black Creek,Lower St. Johns,KINGSLEY LAKE,2.5329,sq. miles,LAKE,3F,9137.61042051
2613A,Crescent Lake,Lower St. Johns,CRANE PONDS,0.10507,sq. miles,LAKE,3F,4292.71120614
2613B,Crescent Lake,Lower St. Johns,SARATOGA LAKE,0.11953,sq. miles,LAKE,3F,2438.62201818
2613C,Crescent Lake,Lower St. Johns,CASTLE LAKE,0.03294,sq. miles,LAKE,3F,1229.80388909
2615A,Crescent Lake,Lower St. Johns,DEAD LAKE,0.58917,sq. miles,LAKE,3F,8167.4940908
2612A,Crescent Lake,Lower St. Johns,TANK LAKE,0.06393,sq. miles,LAKE,3F,1739.92664348
2541,Etonia Creek,Lower St. Johns,GEORGES LAKE,1.28113,sq. miles,LAKE,3F,10741.06687541
2509A,Etonia Creek,Lower St. Johns,PARADISE LAKE,0.03441,sq. miles,LAKE,3F,1928.32032813
2661A,Crescent Lake,Lower St. Johns,CARAWAY LAKE,0.33251,sq. miles,LAKE,3F,3854.45935735
2528D,Etonia Creek,Lower St. Johns,LAKE GATOR BONE,0.17449,sq. miles,LAKE,3F,4738.08713741
2667A,Crescent Lake,Lower St. Johns,LAKE DIAS,1.08654,sq. miles,LAKE,3F,8630.43803293
2834C,Lake Harris,Ocklawaha,LAKE BEAUCLAIR,1.75945,sq. miles,LAKE,3F,11408.66439533
2705B,Orange Creek,Ocklawaha,NEWNANS LAKE,9.334,sq. miles,LAKE,3F,24191.62603106
2528E,Etonia Creek,Lower St. Johns,WHITE SANDS LAKE,0.36514,sq. miles,LAKE,3F,3937.22944625
2528F,Etonia Creek,Lower St. Johns,PEBBLE LAKE,0.00594,sq. miles,LAKE,3F,469.68201551
2835D,Lake Apopka,Ocklawaha,LAKE APOPKA,48.29579,sq. miles,LAKE,3F,61523.64270316
2706,Orange Creek,Ocklawaha,LAKE MOON,0.02782,sq. miles,LAKE,3F,1853.16907852
2708X,Rodman Reservoir,Ocklawaha,BOLL GREEN LAKE,0.04822,sq. miles,LAKE,3F,1748.47156024
2853A,Lake Harris,Ocklawaha,LAKE ARTHUR,0.18431,sq. miles,LAKE,3F,3788.6802249
2853B,Lake Harris,Ocklawaha,LAKE SPENCER,0.0885,sq. miles,LAKE,3F,2343.46653263
2853C,Lake Harris,Ocklawaha,INDIANHOUSE LAKE,0.09339,sq. miles,LAKE,3F,2486.41266085
2814A,Lake Griffin,Ocklawaha,LAKE GRIFFIN,14.80195,sq. miles,LAKE,3F,42440.3166845
2622C,Crescent Lake,Lower St. Johns,GORE LAKE,0.13178,sq. miles,LAKE,3F,2431.97875644
2623,Crescent Lake,Lower St. Johns,SILVER LAKE,0.199,sq. miles,LAKE,3F,4687.95731028
2625A,Crescent Lake,Lower St. Johns,OMEGA LAKE,0.00867,sq. miles,LAKE,3F,538.70818905
2625B,Crescent Lake,Lower St. Johns,LAKE LILLIE (ENGLISH LAKE),0.05342,sq. miles,LAKE,3F,7246.18416786
2801D,Lake Griffin,Ocklawaha,CRESCENT LAKE,0.11629,sq. miles,LAKE,3F,2895.03729731
2801E,Lake Griffin,Ocklawaha,ISLAND LAKE,0.18916,sq. miles,LAKE,3F,3086.23637298
2801X,Lake Griffin,Ocklawaha,SOUTH TWIN LAKE,0.14346,sq. miles,LAKE,3F,2452.65230168
2854A,Lake Apopka,Ocklawaha,MARSHALL LAKE,0.09464,sq. miles,LAKE,3F,1862.99584018
2870B,Palatlakaha River,Ocklawaha,STEWART LAKE,0.08825,sq. miles,LAKE,3F,2336.7635858
2747X,Orange Creek,Ocklawaha,L. FISH POND,0.00417,sq. miles,LAKE,3F,390.80670463
2747Y,Orange Creek,Ocklawaha,DEER BACK LAKE,0.1232,sq. miles,LAKE,3F,2079.4126506
2625C,Crescent Lake,Lower St. Johns,LAKE STELLA,0.48617,sq. miles,LAKE,3F,9267.82441552
2625D,Crescent Lake,Lower St. Johns,DREAM POND,0.11792,sq. miles,LAKE,3F,2988.06749506
2509A1,Etonia Creek,Lower St. Johns,SILVER LAKE,0.05618,sq. miles,LAKE,3F,2126.14800832
2509A2,Etonia Creek,Lower St. Johns,BOLT LAKE,0.01465,sq. miles,LAKE,3F,1096.76233783
2509B,Etonia Creek,Lower St. Johns,BEDFORD LAKE,0.18357,sq. miles,LAKE,3F,4747.59156736
2872A,Lake Apopka,Ocklawaha,LAKE ROBERTS,0.17709,sq. miles,LAKE,3F,3694.2553902
2872B,Lake Apopka,Ocklawaha,LAKE PEARL,0.02804,sq. miles,LAKE,3F,1111.15167211
2872C,Lake Apopka,Ocklawaha,LAKE LILY,0.02746,sq. miles,LAKE,3F,1106.58615761
2873B,Lake Apopka,Ocklawaha,LAKE AVALON,0.28679,sq. miles,LAKE,3F,7062.43722531
2873C,Lake Apopka,Ocklawaha,JOHNS LAKE,4.03162,sq. miles,LAKE,3F,49187.78145208
2874A,Palatlakaha River,Ocklawaha,SUMMER LAKE,0.52975,sq. miles,LAKE,3F,7993.70445267
2748A,Orange Creek,Ocklawaha,MCCARTHY LAKE,0.17561,sq. miles,LAKE,3F,2865.5477053
2748X,Orange Creek,Ocklawaha,KEY POND,0.01894,sq. miles,LAKE,3F,827.0861676300000
2749A,Orange Creek,Ocklawaha,ORANGE LAKE,11.37179,sq. miles,LAKE,3F,93457.8083692
2801,Lake Griffin,Ocklawaha,LAKE TUTUOLA,0.00496,sq. miles,LAKE,3F,428.08027565
2801B,Lake Griffin,Ocklawaha,NORTH TWIN LAKE,0.09284,sq. miles,LAKE,3F,2739.81623657
2801C,Lake Griffin,Ocklawaha,LAKE PEARL,0.11154,sq. miles,LAKE,3F,2014.01514224
2889C,Palatlakaha River,Ocklawaha,TOWER LAKE,0.1044,sq. miles,LAKE,3F,1979.57716334
2890A,Palatlakaha River,Ocklawaha,LAKE LOWERY,1.39596,sq. miles,LAKE,3F,10630.98885897
2528H,Etonia Creek,Lower St. Johns,HALL LAKE,0.2923,sq. miles,LAKE,3F,8670.87258655
2528K,Etonia Creek,Lower St. Johns,LITTLE LAKE JOHNSON,0.04491,sq. miles,LAKE,3F,1442.65009248
2803A,Lake Griffin,Ocklawaha,HOLLY LAKE,0.15507,sq. miles,LAKE,3F,2887.0656981
2389,Black Creek,Lower St. Johns,DOCTORS LAKE,5.36436,sq. miles,LAKE,3F,28326.52601112
2565,Etonia Creek,Lower St. Johns,BOYDS LAKE,0.0791,sq. miles,LAKE,3F,1772.08800991
2723A,Orange Creek,Ocklawaha,COWPEN LAKE,0.5777,sq. miles,LAKE,3F,7351.16665888
2723X,Orange Creek,Ocklawaha,NORTH TWIN LAKE,0.01783,sq. miles,LAKE,3F,1243.87974246
2630B,Crescent Lake,Lower St. Johns,LAKE DISSTON,2.98787,sq. miles,LAKE,3F,11879.14408627
2669A,Crescent Lake,Lower St. Johns,LAKE HIRES,0.24455,sq. miles,LAKE,3F,7975.544323200000
2593A,Etonia Creek,Lower St. Johns,DAVIS LAKE,0.01756,sq. miles,LAKE,3F,787.24703078
2875A,Lake Apopka,Ocklawaha,BLACK LAKE,0.36474,sq. miles,LAKE,3F,4521.85325779
2875B,Lake Apopka,Ocklawaha,LAKE TILDEN,0.06184,sq. miles,LAKE,3F,1751.63714368
2788A,Marshall Swamp,Ocklawaha,BOWERS LAKE,0.18252,sq. miles,LAKE,3F,6005.58063269
2789,Lake Griffin,Ocklawaha,NICOTOON LAKE,0.25341,sq. miles,LAKE,3F,7525.57006999
2789B,Lake Griffin,Ocklawaha,DOE POND,0.00753,sq. miles,LAKE,3F,623.56945423
2509,Etonia Creek,Lower St. Johns,LAKE GENEVA,1.20942,sq. miles,LAKE,3F,19652.66098666
3259T,Southwest Coast,Everglades West Coast,LAKE AVALON,0.09794,sq. miles,LAKE,3F,2576.87682326
3168B1,Upper Kissimmee,Kissimmee River,MUD LAKE,0.37702,sq. miles,LAKE,3F,3757.46657121
3168C,Upper Kissimmee,Kissimmee River,LAKE JESSAMINE,0.45718,sq. miles,LAKE,3F,7747.0376634
3168D,Upper Kissimmee,Kissimmee River,LAKE GATLIN,0.09985,sq. miles,LAKE,3F,2529.81340556
3168E,Upper Kissimmee,Kissimmee River,LAKE ANDERSON,0.0199,sq. miles,LAKE,3F,902.1328152100000
3168F,Upper Kissimmee,Kissimmee River,LAKE BASS,0.03745,sq. miles,LAKE,3F,1355.57536567
3176,Upper Kissimmee,Kissimmee River,ALLIGATOR LAKE,5.553740000000000,sq. miles,LAKE,3F,25017.52402086
3176A,Upper Kissimmee,Kissimmee River,LAKE LIZZIE,1.27564,sq. miles,LAKE,3F,7864.827426350000
1906,Lake Istokpoga,Kissimmee River,LAKE CHARLOTTE,0.31537,sq. miles,LAKE,3F,3581.56509553
1911,Lake Istokpoga,Kissimmee River,LAKE RUTH,0.12002,sq. miles,LAKE,3F,2118.68897087
1932A,Lake Placid,Kissimmee River,LAKE GRASSY,0.82863,sq. miles,LAKE,3F,9966.25318212
1758D,Lake Istokpoga,Kissimmee River,TROUT LAKE,0.21965,sq. miles,LAKE,3F,2959.60872172
1758E,Lake Istokpoga,Kissimmee River,PANSY LAKE,0.01464,sq. miles,LAKE,3F,716.09085977
3168Y9,Econlockhatchee River,Middle St. Johns,LAKE EOLA,0.04387,sq. miles,LAKE,3F,1352.50752414
3168Z1,Econlockhatchee River,Middle St. Johns,LAKE LUCERNE (WEST),0.01607,sq. miles,LAKE,3F,784.55963265
3168Z2,Econlockhatchee River,Middle St. Johns,LAKE LUCERNE (EAST),0.00961,sq. miles,LAKE,3F,818.8847334100000
3168Z3,Econlockhatchee River,Middle St. Johns,LAKE ARNOLD,0.03975,sq. miles,LAKE,3F,1252.86852063
3168Z4,Econlockhatchee River,Middle St. Johns,LAKE GILES,0.04272,sq. miles,LAKE,3F,1258.82944853
1932B,Lake Placid,Kissimmee River,CLAY LAKE,0.55251,sq. miles,LAKE,3F,5505.05719616
1932C,Lake Placid,Kissimmee River,LAKE SIRENA,0.22338,sq. miles,LAKE,3F,2928.78367383
3170R,Upper Kissimmee,Kissimmee River,CRESCENT LAKE,0.29209,sq. miles,LAKE,3F,4353.0054425
3170S,Upper Kissimmee,Kissimmee River,LAKE DOWN,1.42198,sq. miles,LAKE,3F,13018.19699372
1758F,Lake Istokpoga,Kissimmee River,LAKE ISABELL,0.14571,sq. miles,LAKE,3F,2462.59142851
3169O,Upper Kissimmee,Kissimmee River,LAKE CECILE,0.17474,sq. miles,LAKE,3F,2671.0453646
3169P,Upper Kissimmee,Kissimmee River,LAKE CATHERINE,0.12514,sq. miles,LAKE,3F,4525.46034787
3169Q,Upper Kissimmee,Kissimmee River,ROCK LAKE,0.06796,sq. miles,LAKE,3F,1720.25001773
3169S,Upper Kissimmee,Kissimmee River,LAKE ROGER (LAKE CHRISTIE),0.01665,sq. miles,LAKE,3F,755.1614068900000
3169T,Upper Kissimmee,Kissimmee River,LAKE SANDY,0.0417,sq. miles,LAKE,3F,1558.39345298
3168G,Econlockhatchee River,Middle St. Johns,LAKE UNDERHILL,0.21921,sq. miles,LAKE,3F,3941.92377017
3168H,Upper Kissimmee,Kissimmee River,LAKE HOLDEN,0.41487,sq. miles,LAKE,3F,6609.22890633
3168I,Upper Kissimmee,Kissimmee River,LAKE PINELOCK,0.09528,sq. miles,LAKE,3F,2124.13843462
3168J,Upper Kissimmee,Kissimmee River,JENNIE JEWEL LAKE,0.11008,sq. miles,LAKE,3F,3216.1355393
1842,Lake Istokpoga,Kissimmee River,LAKE SEBRING,0.72362,sq. miles,LAKE,3F,5231.78185595
1842A,Lake Istokpoga,Kissimmee River,LITTLE RED WATER LAKE,0.48997,sq. miles,LAKE,3F,5645.48082246
1842B,Lake Istokpoga,Kissimmee River,LAKE DENTON,0.10381,sq. miles,LAKE,3F,1869.02557544
3169U,Upper Kissimmee,Kissimmee River,LAKE PAT,0.00657,sq. miles,LAKE,3F,718.21701496
31702A,Upper Kissimmee,Kissimmee River,LAKE FLOYD (ORANGE COUNTY),0.04093,sq. miles,LAKE,3F,1417.09373327
31703,Upper Kissimmee,Kissimmee River,PALM LAKE,0.03851,sq. miles,LAKE,3F,1137.82153991
3174,Upper Kissimmee,Kissimmee River,LAKE CENTER,0.64191,sq. miles,LAKE,3F,5357.69989776
3174A,Upper Kissimmee,Kissimmee River,LAKE MYRTLE,0.87729,sq. miles,LAKE,3F,6863.75499104
3174B,Upper Kissimmee,Kissimmee River,LAKE PRESTON,1.07926,sq. miles,LAKE,3F,8696.013395880000
3174C,Upper Kissimmee,Kissimmee River,LAKE JOEL,0.3549,sq. miles,LAKE,3F,4088.009696
3174D,Upper Kissimmee,Kissimmee River,COON LAKE,0.23583,sq. miles,LAKE,3F,2896.95898383
2574A,Etonia Creek,Lower St. Johns,TWOMILE POND,0.07744,sq. miles,LAKE,3F,3191.7510495
2575,Etonia Creek,Lower St. Johns,CUE LAKE,0.21328,sq. miles,LAKE,3F,2905.91657369
2575B,Etonia Creek,Lower St. Johns,ENSLOW LAKE,0.1344,sq. miles,LAKE,3F,3033.05877263
2575C,Etonia Creek,Lower St. Johns,BRANTLEY LAKE WEST,0.1126,sq. miles,LAKE,3F,3606.5603468
2575C1,Etonia Creek,Lower St. Johns,BRANTLEY LAKE EAST,0.23279,sq. miles,LAKE,3F,3299.38198595
1436A,Upper Kissimmee,Kissimmee River,LAKE DAVENPORT,0.10007,sq. miles,LAKE,3F,4946.28439323
1472B,Upper Kissimmee,Kissimmee River,LAKE HATCHINEHA,10.25673,sq. miles,LAKE,3F,43247.00596662
2575Q,Etonia Creek,Lower St. Johns,MASON LAKE,0.11539,sq. miles,LAKE,3F,2216.61460634
3177,Upper Kissimmee,Kissimmee River,LAKE GENTRY,2.81514,sq. miles,LAKE,3F,11857.46175806
3177A,Upper Kissimmee,Kissimmee River,BRICK LAKE,1.00162,sq. miles,LAKE,3F,7286.92703885
3180A,Upper Kissimmee,Kissimmee River,LAKE CYPRESS,6.30973,sq. miles,LAKE,3F,24017.09359168
3183B,Upper Kissimmee,Kissimmee River,LAKE KISSIMMEE,47.92342,sq. miles,LAKE,3F,114302.62994262
3170F8,Upper Kissimmee,Kissimmee River,HANCOCK LAKE,0.11524,sq. miles,LAKE,3F,2540.51525806
3170FA,Upper Kissimmee,Kissimmee River,LAKE OLIVER,0.04896,sq. miles,LAKE,3F,2197.22907397
3170FB,Upper Kissimmee,Kissimmee River,LAKE GIFFORD,0.06759,sq. miles,LAKE,3F,1625.48552838
3170FC,Upper Kissimmee,Kissimmee River,REXFORD LAKE,0.04589,sq. miles,LAKE,3F,1449.38955095
3168Y4,Econlockhatchee River,Middle St. Johns,LAKE DAVIS,0.02786,sq. miles,LAKE,3F,1009.753937
3168Y5,Econlockhatchee River,Middle St. Johns,LAKE BEAUTY,0.00341,sq. miles,LAKE,3F,343.57896713
3168Y6,Econlockhatchee River,Middle St. Johns,LAKE LURNA,0.01159,sq. miles,LAKE,3F,672.55170473
3183G,Upper Kissimmee,Kissimmee River,LAKE JACKSON (OSCEOLA COUNTY),1.5551,sq. miles,LAKE,3F,10012.68886783
3184,Upper Kissimmee,Kissimmee River,LAKE MARIAN,7.689230000000000,sq. miles,LAKE,3F,25965.27582467
3170FD,Upper Kissimmee,Kissimmee River,RACCOON LAKE (ORANGE COUNTY),0.11301,sq. miles,LAKE,3F,2260.43469503
3259W,Southwest Coast,Everglades West Coast,LAKE TRAFFORD,2.36957,sq. miles,LAKE,3F,11793.22610528
1730D,Lake Istokpoga,Kissimmee River,LAKE ADELAIDE,0.15297,sq. miles,LAKE,3F,2801.43168528
1730E,Lake Istokpoga,Kissimmee River,PABOR LAKE,0.0629,sq. miles,LAKE,3F,1444.24189505
1758,Lake Istokpoga,Kissimmee River,LAKE DAMON,0.42908,sq. miles,LAKE,3F,3817.42633715
1758A,Lake Istokpoga,Kissimmee River,LAKE VIOLA,0.10805,sq. miles,LAKE,3F,1912.72945382
1758B,Lake Istokpoga,Kissimmee River,LAKE LILLIAN,0.04823,sq. miles,LAKE,3F,1263.71108962
3168Y7,Econlockhatchee River,Middle St. Johns,LAKE THERESA,0.00162,sq. miles,LAKE,3F,255.41636596
3168Y8,Econlockhatchee River,Middle St. Johns,LAKE WELDONA,0.01171,sq. miles,LAKE,3F,1039.48398897
3170B,Upper Kissimmee,Kissimmee River,LAKE RUSSELL,1.16553,sq. miles,LAKE,3F,6521.64800665
1758C,Lake Istokpoga,Kissimmee River,LAKE ISIS,0.07521,sq. miles,LAKE,3F,1747.57248823
1893,Lake Istokpoga,Kissimmee River,HUCKLEBERRY LAKE,0.1759,sq. miles,LAKE,3F,2567.69821068
1898,Lake Istokpoga,Kissimmee River,LAKE WOLF,0.1864,sq. miles,LAKE,3F,2704.91857454
1758G,Lake Istokpoga,Kissimmee River,LAKE PYTHIAS,0.42289,sq. miles,LAKE,3F,4013.97726221
1758H,Lake Istokpoga,Kissimmee River,LAKE BYRD,0.08098,sq. miles,LAKE,3F,1664.38028762
3174E,Upper Kissimmee,Kissimmee River,TROUT LAKE,0.4179,sq. miles,LAKE,3F,4985.08795066
1758I,Lake Istokpoga,Kissimmee River,BRENTWOOD LAKE,0.09233,sq. miles,LAKE,3F,2097.93169024
1758J,Lake Istokpoga,Kissimmee River,PIONEER LAKE,0.13327,sq. miles,LAKE,3F,2219.92335354
1758L,Lake Istokpoga,Kissimmee River,LAKE GODWIN,0.03476,sq. miles,LAKE,3F,1072.12631688
1480,Upper Kissimmee,Kissimmee River,LAKE MARION,4.70085,sq. miles,LAKE,3F,19502.99129142
1532A,Upper Kissimmee,Kissimmee River,LAKE PIERCE,5.90907,sq. miles,LAKE,3F,28861.16479923
3168Z5,Econlockhatchee River,Middle St. Johns,LAKE SHANNON,0.01791,sq. miles,LAKE,3F,841.2656379
3168Z6,Econlockhatchee River,Middle St. Johns,LAKE CAY DEE,0.01534,sq. miles,LAKE,3F,1035.09450674
3168Z9,Econlockhatchee River,Middle St. Johns,LAKE LAWSONA,0.01272,sq. miles,LAKE,3F,764.85811631
1761E,Lake Istokpoga,Kissimmee River,DUCK LAKE,0.00336,sq. miles,LAKE,3F,561.49166681
1761F,Lake Istokpoga,Kissimmee River,DEER LAKE,0.04344,sq. miles,LAKE,3F,1229.61438925
3163A,C-25,Indian River Lagoon,LAKEWOOD PARK LAKES,0.108,sq. miles,LAKE,3F,15220.87886979
3169A1,Upper Kissimmee,Kissimmee River,RATTLESNAKE LAKE (LAKE ELLENORE),0.17684,sq. miles,LAKE,3F,2486.56835512
3169A2,Upper Kissimmee,Kissimmee River,LAKE TYLER,0.03638,sq. miles,LAKE,3F,1171.52921413
3169A3,Upper Kissimmee,Kissimmee River,LAKE BUCHANAN,0.07467,sq. miles,LAKE,3F,1719.3806852
3169A4,Upper Kissimmee,Kissimmee River,LAKE RUBY (ORANGE COUNTY),0.088,sq. miles,LAKE,3F,1727.21759297
1938J,Lake Placid,Kissimmee River,LAKE NELLIE (NORTHWEST SEGMENT),0.04065,sq. miles,LAKE,3F,1159.63031323
1938K,Lake Placid,Kissimmee River,LAKE NELLIE (CENTER SEGMENT),0.07857,sq. miles,LAKE,3F,1614.20851083
1938L,Lake Placid,Kissimmee River,LAKE NELLIE (SOUTHEAST SEGMENT),0.05421,sq. miles,LAKE,3F,1344.86233596
1938M,Lake Placid,Kissimmee River,"UNNAMED """"E"""" LAKE",0.02179,sq. miles,LAKE,3F,1201.23342771
1938P,Lake Placid,Kissimmee River,LAKE AUGUST,0.08152,sq. miles,LAKE,3F,1728.20983241
2839K,Upper Kissimmee,Kissimmee River,TROUT LAKE,0.25586,sq. miles,LAKE,3F,3017.29207478
3168A,Upper Kissimmee,Kissimmee River,LAKE CONWAY,1.68686,sq. miles,LAKE,3F,13826.03507857
3168A1,Upper Kissimmee,Kissimmee River,LITTLE LAKE CONWAY,1.08031,sq. miles,LAKE,3F,14194.0631526
3169A5,Upper Kissimmee,Kissimmee River,LITTLE LAKE BRYAN,0.04994,sq. miles,LAKE,3F,1363.68350082
1938A,Lake Placid,Kissimmee River,LAKE JUNE IN WINTER,5.8265,sq. miles,LAKE,3F,21930.37721659
2528A1,Etonia Creek,Lower St. Johns,SPRING LAKE,0.15675,sq. miles,LAKE,3F,3372.71192696
2528A2,Etonia Creek,Lower St. Johns,LAKE MARGIE,0.03419,sq. miles,LAKE,3F,1115.44831077
2528B,Etonia Creek,Lower St. Johns,LAKE SHEELAR,0.02361,sq. miles,LAKE,3F,964.70589617
1663B,Lake Istokpoga,Kissimmee River,LITTLE CROOKED LAKE,1.19125,sq. miles,LAKE,3F,7953.279914360000
1685A,Lake Istokpoga,Kissimmee River,LAKE ARBUCKLE,5.95099,sq. miles,LAKE,3F,20831.95022986
1685D,Lake Istokpoga,Kissimmee River,REEDY LAKE,5.47955,sq. miles,LAKE,3F,16446.97916143
1685E,Lake Istokpoga,Kissimmee River,LAKE IDA,0.13349,sq. miles,LAKE,3F,2169.77811139
1706,Lake Istokpoga,Kissimmee River,LAKE CLINCH,1.90537,sq. miles,LAKE,3F,9293.43836693
1813G,Lake Istokpoga,Kissimmee River,LITTLE BONNET LAKE,0.12742,sq. miles,LAKE,3F,2361.09648399
1813H,Lake Istokpoga,Kissimmee River,LAKE VERONA,0.061,sq. miles,LAKE,3F,1313.07342702
1938C1,Lake Placid,Kissimmee River,MIRROR LAKE,0.14566,sq. miles,LAKE,3F,2621.55442681
1938D,Lake Placid,Kissimmee River,LAKE CARRIE,0.10554,sq. miles,LAKE,3F,1916.5035342
1938E,Lake Placid,Kissimmee River,PERSIMMON LAKE,0.0585,sq. miles,LAKE,3F,1915.6394634
1938F,Lake Placid,Kissimmee River,RED WATER LAKE,0.11046,sq. miles,LAKE,3F,2383.19496581
1938F1,Lake Placid,Kissimmee River,LITTLE RED WATER LAKE,0.03343,sq. miles,LAKE,3F,1116.65799493
1938G,Lake Placid,Kissimmee River,LAKE FRANCIS,0.85197,sq. miles,LAKE,3F,5463.94656207
2586A,Etonia Creek,Lower St. Johns,LONG POND,0.0254,sq. miles,LAKE,3F,1278.12910297
2587,Etonia Creek,Lower St. Johns,GRANDIN LAKE,0.53073,sq. miles,LAKE,3F,5281.92839874
2587A,Etonia Creek,Lower St. Johns,CLEARWATER LAKE,0.05051,sq. miles,LAKE,3F,1420.4662639
1813I,Lake Istokpoga,Kissimmee River,LAKE ANOKA,0.07526,sq. miles,LAKE,3F,1552.00844351
1813J,Lake Istokpoga,Kissimmee River,LAKE LELIA,0.25327,sq. miles,LAKE,3F,3401.28805068
1813K,Lake Istokpoga,Kissimmee River,SILVER LAKE,0.03354,sq. miles,LAKE,3F,1017.59467529
1813L,Lake Istokpoga,Kissimmee River,LAKE GLENADA,0.28367,sq. miles,LAKE,3F,4627.71178869
3168Y,Econlockhatchee River,Middle St. Johns,LAKE LANCASTER,0.06728,sq. miles,LAKE,3F,3387.65521762
3168Y1,Econlockhatchee River,Middle St. Johns,LAKE EMERALD,0.00349,sq. miles,LAKE,3F,425.44645376
3168Y2,Econlockhatchee River,Middle St. Johns,LAKE COMO (ORANGE COUNTY),0.00343,sq. miles,LAKE,3F,343.56057519
3168Y3,Econlockhatchee River,Middle St. Johns,LAKE GREENWOOD,0.01646,sq. miles,LAKE,3F,1243.24625218
2587B,Etonia Creek,Lower St. Johns,JUNIOR LAKE,0.10904,sq. miles,LAKE,3F,3095.40012997
2587C,Etonia Creek,Lower St. Johns,SILVER LAKE,0.02267,sq. miles,LAKE,3F,868.9190022
1813M,Lake Istokpoga,Kissimmee River,GRASSY POND,0.15809,sq. miles,LAKE,3F,3551.35394071
1813N,Lake Istokpoga,Kissimmee River,BASKET LAKE,0.08836,sq. miles,LAKE,3F,2047.5684398
1938H,Lake Placid,Kissimmee River,LAKE ANNIE,0.13861,sq. miles,LAKE,3F,2232.41872904
1938I,Lake Placid,Kissimmee River,LAKE LACHARD,0.02797,sq. miles,LAKE,3F,890.43900236
3168X4,Econlockhatchee River,Middle St. Johns,LAKE RABAMA,0.00946,sq. miles,LAKE,3F,661.30985843
3168X5,Upper Kissimmee,Kissimmee River,LAKE CONDEL,0.0052,sq. miles,LAKE,3F,442.69674682
3168X6,Econlockhatchee River,Middle St. Johns,LAKE CHEROKEE,0.01891,sq. miles,LAKE,3F,885.10556448
3168X7,Upper Kissimmee,Kissimmee River,LAKE FARRAR,0.01313,sq. miles,LAKE,3F,726.9679773600000
3168X9,Upper Kissimmee,Kissimmee River,LAKE JANE (ORANGE COUNTY),0.00557,sq. miles,LAKE,3F,444.5136471
3258X,Estero Bay,Everglades West Coast,THE LAKES PARK,0.30539,sq. miles,LAKE,3F,15236.39199606
